Group No.,Material Classification,Metallurgy Code,Shop Code,Parent Code,Weight Code,Material,Group#,Sched,% Adder *,Size,Value,,1
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,20,0.65,,
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,24,0.73,,
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,30,0.912,,
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,36,1.094,,
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,42,1.277,,
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,48,1.277,,
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,54,1.277,,
1,Chrome .5% to 2.0%,635,605,03,ST,CM,1,ST,0.6,60,1.277,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,0.5,0.335,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,0.75,0.335,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,1,0.335,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,1.5,0.335,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,2,0.335,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,2.5,0.335,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,3,0.37,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,4,0.4,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,6,0.46,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,8,0.52,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,10,0.57,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,12,0.6,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,14,0.655,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,16,0.7,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,18,0.79,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,20,0.87,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,24,0.98,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,30,1.224,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,36,1.469,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,42,1.714,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,48,1.714,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,54,1.714,,
2,Chrome 2.0% to 6.0%,636,606,04,ST,CM,2,ST,0.8,60,1.714,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,0.5,0.45,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,0.75,0.45,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,1,0.45,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,1.5,0.45,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,2,0.45,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,2.5,0.45,,
