DISCIPLINE,DESCRIPTION,CODE,TASK DEFINITION,UNIT,Size,Value
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,0.5,0.025
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,0.75,0.025
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,1,0.025
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,1.5,0.03
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,2,0.03
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,2.5,0.035
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,3,0.035
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,4,0.04
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,6,0.04
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,8,0.045
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,10,0.05
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,12,0.06
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,14,0.075
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,16,0.09
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,18,0.1
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,20,0.12
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,24,0.15
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,30,0.17
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,36,0.2
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,42,0.25
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,48,FALSE
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,54,FALSE
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,60,FALSE
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,0.5,0.025
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,0.75,0.025
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,1,0.025
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,1.5,0.03
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,2,0.03
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,2.5,0.035
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,3,0.035
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,4,0.04
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,6,0.04
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,8,0.045
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,10,0.05
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,12,0.06
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,14,0.075
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,16,0.09
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,18,0.1
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,20,0.12
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,24,0.15
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,30,0.17
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,36,0.2
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,42,0.25
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,48,FALSE
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,54,FALSE
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,60,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,0.5,0.55
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,0.75,0.6
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,1,0.7
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,1.5,0.75
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,2,0.8
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,2.5,0.85
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,3,0.9
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,4,1.08
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,6,1.62
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,8,2.16
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,10,2.7
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,12,3.24
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,14,3.92
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,16,4.48
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,18,5.04
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,20,5.6
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,24,7.2
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,30,8.4
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,36,10.08
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,42,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,48,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,54,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,60,FALSE
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,0.5,0.75
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,0.75,0.95
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,1,1
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,1.5,1.15
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,2,1.2
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,2.5,1.25
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,3,1.3
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,4,1.35
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,6,2.025
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,8,2.7
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,10,3.375
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,12,4.05
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,14,4.9
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,16,5.6
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,18,6.3
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,20,7
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,24,9
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,30,10.5
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,36,12.6
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,42,FALSE
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,48,FALSE
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,54,FALSE
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,60,FALSE
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,0.5,1
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,0.75,1.25
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,1,1.3
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,1.5,1.4
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,2,1.5
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,2.5,1.4365
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,3,1.40625
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,4,1.6875
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,6,2.53125
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,8,3.375
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,10,4.21875
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,12,5.0625
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,14,6.125
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,16,7
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,18,7.875
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,20,8.75
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,24,11.25
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,30,13.125
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,36,15.75
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,42,FALSE
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,48,FALSE
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,54,FALSE
Piping,SHOP FABRICATION,SBWXX,SHOP BUTTWELD XXS,weld,60,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,0.5,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,0.75,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,1,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,1.5,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,2,1
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,2.5,1.05
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,3,1.1
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,4,1.28
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,6,1.87
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,8,2.41
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,10,2.95
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,12,3.59
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,14,4.27
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,16,4.83
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,18,5.39
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,20,6.05
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,24,7.65
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,30,8.9
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,36,10.83
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,42,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,48,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,54,FALSE
Piping,SHOP FABRICATION,SNW90,SHOP NW 90 STUB-IN WELD,weld,60,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,0.5,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,0.75,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,1,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,1.5,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,2,1.3
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,2.5,1.365
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,3,1.485
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,4,1.664
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,6,2.431
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,8,3.133
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,10,3.835
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,12,4.667
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,14,5.551
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,16,6.279
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,18,7.007
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,20,7.865
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,24,9.945
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,30,11.57
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,36,14.079
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,42,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,48,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,54,FALSE
Piping,SHOP FABRICATION,SNW45,SHOP NW 45 STUB-IN WELD,weld,60,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,0.5,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,0.75,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,1,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,1.5,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,2,1.6
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,2.5,1.7
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,3,1.8
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,4,2.16
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,6,3.24
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,8,4.32
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,10,5.4
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,12,6.48
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,14,7.84
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,16,8.96
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,18,10.08
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,20,11.2
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,24,14.4
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,30,16.8
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,36,20.16
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,42,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,48,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,54,FALSE
Piping,SHOP FABRICATION,SMW,SHOP MITRE WELD,weld,60,FALSE
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,0.5,0.55
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,0.75,0.6
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,1,0.7
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,1.5,0.75
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,2,0.8
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,2.5,0.85
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,3,0.9
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,4,1.08
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,6,1.62
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,8,2.16
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,10,2.7
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,12,3.24
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,14,3.92
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,16,4.48
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,18,5.04
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,20,5.6
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,24,7.2
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,30,8.4
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,36,10.08
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,42,FALSE
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,48,FALSE
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,54,FALSE
Piping,SHOP FABRICATION,SSOW,SHOP SLIP-ON WELD,weld,60,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,0.5,0.4
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,0.75,0.45
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,1,0.55
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,1.5,0.6
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,2,0.7
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,2.5,0.8
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,3,1
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,4,1.15
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,6,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,8,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,10,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,12,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,14,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,16,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,18,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,20,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,24,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,30,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,36,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,42,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,48,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,54,FALSE
Piping,SHOP FABRICATION,SSW,3000# SOCKETWELD,weld,60,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,0.5,0.55
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,0.75,0.6
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,1,0.7
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,1.5,0.8
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,2,0.9
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,2.5,1
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,3,1.25
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,4,1.4
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,6,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,8,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,10,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,12,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,14,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,16,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,18,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,20,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,24,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,30,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,36,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,42,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,48,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,54,FALSE
Piping,SHOP FABRICATION,SSW 6M,6000# SOCKETWELD,weld,60,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,0.5,0.8
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,0.75,0.87
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,1,1.09
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,1.5,1.3
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,2,1.8
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,2.5,2.18
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,3,2.5
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,4,3.2
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,6,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,8,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,10,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,12,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,14,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,16,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,18,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,20,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,24,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,30,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,36,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,42,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,48,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,54,FALSE
Piping,SHOP FABRICATION,SEOL,SHOP EOL WELD 3000#,weld,60,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,0.5,0.55
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,0.75,0.6
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,1,0.75
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,1.5,0.9
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,2,1.25
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,2.5,1.5
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,3,2
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,4,2.5
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,6,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,8,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,10,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,12,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,14,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,16,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,18,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,20,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,24,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,30,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,36,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,42,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,48,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,54,FALSE
Piping,SHOP FABRICATION,SNOLX,SHOP NOL WELD 3000#,weld,60,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,0.5,0.6
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,0.75,0.7
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,1,0.8
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,1.5,1
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,2,1.4
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,2.5,1.7
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,3,2.5
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,4,3.25
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,6,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,8,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,10,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,12,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,14,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,16,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,18,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,20,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,24,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,30,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,36,FALSE
Piping,SHOP FABRICATION,SNOLXX,SHOP NOL WELD 6000#,weld,42,FALSE
