Member,LB/LF,Steel Type, Factor , LB/LF2 , TNS/Unit ,Kg/M,MH/Unit,Hours,SF per LF,QTO UoM,UoM,Notes
HSS20x12x1/2,103.3,Extra Heavy, 1.05 , 108.47 , 0.054 ,153.7273458,10, 0.54 ,5.33,LF,TONS,Member
HSS20x8x1/2,89.68,Extra Heavy, 1.05 , 94.16 , 0.047 ,133.4585515,10, 0.47 ,4.67,LF,TONS,Member
Plate 2,81.68,Extra Heavy, 1.05 , 85.76 , 0.043 ,,10, 0.43 ,,SF,TONS,Member
Plate 2 1/2,102,Extra Heavy, 1.05 , 107.10 , 0.054 ,,10, 0.54 ,,SF,TONS,Member
Plate 2 1/4,91.89,Extra Heavy, 1.05 , 96.48 , 0.048 ,,10, 0.48 ,,SF,TONS,Member
Plate 2 3/4,112.3,Extra Heavy, 1.05 , 117.92 , 0.059 ,,10, 0.59 ,,SF,TONS,Member
Plate 3,122.4,Extra Heavy, 1.05 , 128.52 , 0.064 ,,10, 0.64 ,,SF,TONS,Member
Plate 3 1/2,142.8,Extra Heavy, 1.05 , 149.94 , 0.075 ,,10, 0.75 ,,SF,TONS,Member
Plate 3 1/4,132.6,Extra Heavy, 1.05 , 139.23 , 0.070 ,,10, 0.70 ,,SF,TONS,Member
Plate 3 3/4,153,Extra Heavy, 1.05 , 160.65 , 0.080 ,,10, 0.80 ,,SF,TONS,Member
Plate 4,163.2,Extra Heavy, 1.05 , 171.36 , 0.086 ,,10, 0.86 ,,SF,TONS,Member
S20x86,86,Extra Heavy, 1.05 , 90.30 , 0.045 ,127.9821078,10, 0.45 ,5.59,LF,TONS,Member
S20x96,96,Extra Heavy, 1.05 , 100.80 , 0.050 ,142.8637482,10, 0.50 ,5.66,LF,TONS,Member
S24x100,100,Extra Heavy, 1.05 , 105.00 , 0.053 ,148.8164044,10, 0.53 ,6.29,LF,TONS,Member
S24x106,106,Extra Heavy, 1.05 , 111.30 , 0.056 ,157.7453887,10, 0.56 ,6.60,LF,TONS,Member
S24x121,121,Extra Heavy, 1.05 , 127.05 , 0.064 ,180.0678494,10, 0.64 ,6.61,LF,TONS,Member
S24x80,80,Extra Heavy, 1.05 , 84.00 , 0.042 ,119.0531235,10, 0.42 ,6.25,LF,TONS,Member
S24x90,90,Extra Heavy, 1.05 , 94.50 , 0.047 ,133.934764,10, 0.47 ,6.27,LF,TONS,Member
W10x100,100,Extra Heavy, 1.05 , 105.00 , 0.053 ,148.8164044,10, 0.53 ,5.20,LF,TONS,Member
W10x112,112,Extra Heavy, 1.05 , 117.60 , 0.059 ,166.674373,10, 0.59 ,5.23,LF,TONS,Member
W10x88,88,Extra Heavy, 1.05 , 92.40 , 0.046 ,130.9584359,10, 0.46 ,5.13,LF,TONS,Member
W12x106,106,Extra Heavy, 1.05 , 111.30 , 0.056 ,157.7453887,10, 0.56 ,6.13,LF,TONS,Member
W12x120,120,Extra Heavy, 1.05 , 126.00 , 0.063 ,178.5796853,10, 0.63 ,6.20,LF,TONS,Member
W12x136,136,Extra Heavy, 1.05 , 142.80 , 0.071 ,202.39031,10, 0.71 ,6.22,LF,TONS,Member
W12x152,152,Extra Heavy, 1.05 , 159.60 , 0.080 ,226.2009347,10, 0.80 ,6.31,LF,TONS,Member
W12x170,170,Extra Heavy, 1.05 , 178.50 , 0.089 ,252.9878875,10, 0.89 ,6.39,LF,TONS,Member
W12x190,190,Extra Heavy, 1.05 , 199.50 , 0.100 ,282.7511684,10, 1.00 ,6.43,LF,TONS,Member
W12x210,210,Extra Heavy, 1.05 , 220.50 , 0.110 ,312.5144493,10, 1.10 ,6.51,LF,TONS,Member
W12x230,230,Extra Heavy, 1.05 , 241.50 , 0.121 ,342.2777302,10, 1.21 ,6.57,LF,TONS,Member
W12x252,252,Extra Heavy, 1.05 , 264.60 , 0.132 ,375.0173392,10, 1.32 ,6.67,LF,TONS,Member
W12x279,279,Extra Heavy, 1.05 , 292.95 , 0.146 ,415.1977683,10, 1.46 ,6.77,LF,TONS,Member
W12x305,305,Extra Heavy, 1.05 , 320.25 , 0.160 ,453.8900335,10, 1.60 ,6.88,LF,TONS,Member
W12x336,336,Extra Heavy, 1.05 , 352.80 , 0.176 ,500.0231189,10, 1.76 ,6.98,LF,TONS,Member
W12x87,87,Extra Heavy, 1.05 , 91.35 , 0.046 ,129.4702719,10, 0.46 ,6.04,LF,TONS,Member
W12x96,96,Extra Heavy, 1.05 , 100.80 , 0.050 ,142.8637482,10, 0.50 ,6.07,LF,TONS,Member
W14x109,109,Extra Heavy, 1.05 , 114.45 , 0.057 ,162.2098808,10, 0.57 ,7.19,LF,TONS,Member
W14x120,120,Extra Heavy, 1.05 , 126.00 , 0.063 ,178.5796853,10, 0.63 ,7.20,LF,TONS,Member
W14x132,132,Extra Heavy, 1.05 , 138.60 , 0.069 ,196.4376538,10, 0.69 ,7.25,LF,TONS,Member
W14x145,145,Extra Heavy, 1.05 , 152.25 , 0.076 ,215.7837864,10, 0.76 ,7.51,LF,TONS,Member
W14x159,159,Extra Heavy, 1.05 , 166.95 , 0.083 ,236.618083,10, 0.83 ,7.58,LF,TONS,Member
W14x176,176,Extra Heavy, 1.05 , 184.80 , 0.092 ,261.9168718,10, 0.92 ,7.61,LF,TONS,Member
W14x193,193,Extra Heavy, 1.05 , 202.65 , 0.101 ,287.2156605,10, 1.01 ,7.69,LF,TONS,Member
W14x211,211,Extra Heavy, 1.05 , 221.55 , 0.111 ,314.0026133,10, 1.11 ,7.71,LF,TONS,Member
W14x233,233,Extra Heavy, 1.05 , 244.65 , 0.122 ,346.7422223,10, 1.22 ,7.78,LF,TONS,Member
W14x257,257,Extra Heavy, 1.05 , 269.85 , 0.135 ,382.4581594,10, 1.35 ,7.86,LF,TONS,Member
W14x283,283,Extra Heavy, 1.05 , 297.15 , 0.149 ,421.1504245,10, 1.49 ,7.95,LF,TONS,Member
W14x311,311,Extra Heavy, 1.05 , 326.55 , 0.163 ,462.8190178,10, 1.63 ,8.03,LF,TONS,Member
W14x342,342,Extra Heavy, 1.05 , 359.10 , 0.180 ,508.9521031,10, 1.80 ,8.11,LF,TONS,Member
W14x370,370,Extra Heavy, 1.05 , 388.50 , 0.194 ,550.6206964,10, 1.94 ,8.21,LF,TONS,Member
W14x398,398,Extra Heavy, 1.05 , 417.90 , 0.209 ,592.2892896,10, 2.09 ,8.29,LF,TONS,Member
W14x426,426,Extra Heavy, 1.05 , 447.30 , 0.224 ,633.9578829,10, 2.24 ,8.38,LF,TONS,Member
W14x455,455,Extra Heavy, 1.05 , 477.75 , 0.239 ,677.1146401,10, 2.39 ,8.46,LF,TONS,Member
W14x500,500,Extra Heavy, 1.05 , 525.00 , 0.263 ,744.0820221,10, 2.63 ,8.57,LF,TONS,Member
W14x550,550,Extra Heavy, 1.05 , 577.50 , 0.289 ,818.4902243,10, 2.89 ,8.73,LF,TONS,Member
W14x605,605,Extra Heavy, 1.05 , 635.25 , 0.318 ,900.3392468,10, 3.18 ,8.83,LF,TONS,Member
W14x665,665,Extra Heavy, 1.05 , 698.25 , 0.349 ,989.6290894,10, 3.49 ,9.01,LF,TONS,Member
W14x730,730,Extra Heavy, 1.05 , 766.50 , 0.383 ,1086.359752,10, 3.83 ,9.18,LF,TONS,Member
W14x82,82,Extra Heavy, 1.05 , 86.10 , 0.043 ,122.0294516,10, 0.43 ,5.67,LF,TONS,Member
W14x90,90,Extra Heavy, 1.05 , 94.50 , 0.047 ,133.934764,10, 0.47 ,7.09,LF,TONS,Member
W14x99,99,Extra Heavy, 1.05 , 103.95 , 0.052 ,147.3282404,10, 0.52 ,7.15,LF,TONS,Member
W16x100,100,Extra Heavy, 1.05 , 105.00 , 0.053 ,148.8164044,10, 0.53 ,6.20,LF,TONS,Member
W16x89,89,Extra Heavy, 1.05 , 93.45 , 0.047 ,132.4465999,10, 0.47 ,6.17,LF,TONS,Member
W18x106,106,Extra Heavy, 1.05 , 111.30 , 0.056 ,157.7453887,10, 0.56 ,6.78,LF,TONS,Member
W18x119,119,Extra Heavy, 1.05 , 124.95 , 0.062 ,177.0915213,10, 0.62 ,6.81,LF,TONS,Member
W18x130,130,Extra Heavy, 1.05 , 136.50 , 0.068 ,193.4613258,10, 0.68 ,6.80,LF,TONS,Member
W18x143,143,Extra Heavy, 1.05 , 150.15 , 0.075 ,212.8074583,10, 0.75 ,6.88,LF,TONS,Member
W18x158,158,Extra Heavy, 1.05 , 165.90 , 0.083 ,235.129919,10, 0.83 ,6.91,LF,TONS,Member
W18x175,175,Extra Heavy, 1.05 , 183.75 , 0.092 ,260.4287077,10, 0.92 ,6.98,LF,TONS,Member
W18x192,192,Extra Heavy, 1.05 , 201.60 , 0.101 ,285.7274965,10, 1.01 ,7.06,LF,TONS,Member
W18x211,211,Extra Heavy, 1.05 , 221.55 , 0.111 ,314.0026133,10, 1.11 ,7.09,LF,TONS,Member
W18x234,234,Extra Heavy, 1.05 , 245.70 , 0.123 ,348.2303864,10, 1.23 ,7.18,LF,TONS,Member
W18x258,258,Extra Heavy, 1.05 , 270.90 , 0.135 ,383.9463234,10, 1.35 ,7.29,LF,TONS,Member
W18x283,283,Extra Heavy, 1.05 , 297.15 , 0.149 ,421.1504245,10, 1.49 ,7.38,LF,TONS,Member
W18x311,311,Extra Heavy, 1.05 , 326.55 , 0.163 ,462.8190178,10, 1.63 ,7.48,LF,TONS,Member
W18x86,86,Extra Heavy, 1.05 , 90.30 , 0.045 ,127.9821078,10, 0.45 ,6.69,LF,TONS,Member
W18x97,97,Extra Heavy, 1.05 , 101.85 , 0.051 ,144.3519123,10, 0.51 ,6.72,LF,TONS,Member
W21x101,101,Extra Heavy, 1.05 , 106.05 , 0.053 ,150.3045685,10, 0.53 ,7.56,LF,TONS,Member
W21x111,111,Extra Heavy, 1.05 , 116.55 , 0.058 ,165.1862089,10, 0.58 ,7.61,LF,TONS,Member
W21x122,122,Extra Heavy, 1.05 , 128.10 , 0.064 ,181.5560134,10, 0.64 ,7.63,LF,TONS,Member
W21x132,132,Extra Heavy, 1.05 , 138.60 , 0.069 ,196.4376538,10, 0.69 ,7.71,LF,TONS,Member
W21x147,147,Extra Heavy, 1.05 , 154.35 , 0.077 ,218.7601145,10, 0.77 ,7.71,LF,TONS,Member
W21x166,166,Extra Heavy, 1.05 , 174.30 , 0.087 ,247.0352313,10, 0.87 ,7.75,LF,TONS,Member
W21x182,182,Extra Heavy, 1.05 , 191.10 , 0.096 ,270.8458561,10, 0.96 ,7.82,LF,TONS,Member
W21x201,201,Extra Heavy, 1.05 , 211.05 , 0.106 ,299.1209729,10, 1.06 ,7.89,LF,TONS,Member
W21x223,223,Extra Heavy, 1.05 , 234.15 , 0.117 ,331.8605819,10, 1.17 ,7.94,LF,TONS,Member
W21x248,248,Extra Heavy, 1.05 , 260.40 , 0.130 ,369.064683,10, 1.30 ,8.02,LF,TONS,Member
W21x275,275,Extra Heavy, 1.05 , 288.75 , 0.144 ,409.2451122,10, 1.44 ,8.10,LF,TONS,Member
W21x300,300,Extra Heavy, 1.05 , 315.00 , 0.158 ,446.4492133,10, 1.58 ,8.20,LF,TONS,Member
W21x333,333,Extra Heavy, 1.05 , 349.65 , 0.175 ,495.5586267,10, 1.75 ,8.30,LF,TONS,Member
W21x364,364,Extra Heavy, 1.05 , 382.20 , 0.191 ,541.6917121,10, 1.91 ,8.41,LF,TONS,Member
W21x402,402,Extra Heavy, 1.05 , 422.10 , 0.211 ,598.2419458,10, 2.11 ,8.50,LF,TONS,Member
W21x83,83,Extra Heavy, 1.05 , 87.15 , 0.044 ,123.5176157,10, 0.44 ,6.27,LF,TONS,Member
W21x93,93,Extra Heavy, 1.05 , 97.65 , 0.049 ,138.3992561,10, 0.49 ,6.30,LF,TONS,Member
W24x103,103,Extra Heavy, 1.05 , 108.15 , 0.054 ,153.2808966,10, 0.54 ,6.99,LF,TONS,Member
W24x104,104,Extra Heavy, 1.05 , 109.20 , 0.055 ,154.7690606,10, 0.55 ,8.17,LF,TONS,Member
W24x117,117,Extra Heavy, 1.05 , 122.85 , 0.061 ,174.1151932,10, 0.61 ,8.20,LF,TONS,Member
W24x131,131,Extra Heavy, 1.05 , 137.55 , 0.069 ,194.9494898,10, 0.69 ,8.27,LF,TONS,Member
W24x146,146,Extra Heavy, 1.05 , 153.30 , 0.077 ,217.2719505,10, 0.77 ,8.31,LF,TONS,Member
W24x162,162,Extra Heavy, 1.05 , 170.10 , 0.085 ,241.0825752,10, 0.85 ,8.39,LF,TONS,Member
W24x176,176,Extra Heavy, 1.05 , 184.80 , 0.092 ,261.9168718,10, 0.92 ,8.38,LF,TONS,Member
W24x192,192,Extra Heavy, 1.05 , 201.60 , 0.101 ,285.7274965,10, 1.01 ,8.45,LF,TONS,Member
W24x207,207,Extra Heavy, 1.05 , 217.35 , 0.109 ,308.0499572,10, 1.09 ,8.48,LF,TONS,Member
W24x229,229,Extra Heavy, 1.05 , 240.45 , 0.120 ,340.7895661,10, 1.20 ,8.54,LF,TONS,Member
W24x250,250,Extra Heavy, 1.05 , 262.50 , 0.131 ,372.0410111,10, 1.31 ,8.59,LF,TONS,Member
W24x279,279,Extra Heavy, 1.05 , 292.95 , 0.146 ,415.1977683,10, 1.46 ,8.68,LF,TONS,Member
W24x306,306,Extra Heavy, 1.05 , 321.30 , 0.161 ,455.3781975,10, 1.61 ,8.77,LF,TONS,Member
W24x335,335,Extra Heavy, 1.05 , 351.75 , 0.176 ,498.5349548,10, 1.76 ,8.85,LF,TONS,Member
W24x370,370,Extra Heavy, 1.05 , 388.50 , 0.194 ,550.6206964,10, 1.94 ,8.96,LF,TONS,Member
W24x408,408,Extra Heavy, 1.05 , 428.40 , 0.214 ,607.1709301,10, 2.14 ,9.06,LF,TONS,Member
W24x450,450,Extra Heavy, 1.05 , 472.50 , 0.236 ,669.6738199,10, 2.36 ,9.22,LF,TONS,Member
W24x492,492,Extra Heavy, 1.05 , 516.60 , 0.258 ,732.1767098,10, 2.58 ,9.31,LF,TONS,Member
W24x84,84,Extra Heavy, 1.05 , 88.20 , 0.044 ,125.0057797,10, 0.44 ,6.94,LF,TONS,Member
W24x94,94,Extra Heavy, 1.05 , 98.70 , 0.049 ,139.8874202,10, 0.49 ,7.00,LF,TONS,Member
W27x102,102,Extra Heavy, 1.05 , 107.10 , 0.054 ,151.7927325,10, 0.54 ,7.77,LF,TONS,Member
W27x114,114,Extra Heavy, 1.05 , 119.70 , 0.060 ,169.650701,10, 0.60 ,7.82,LF,TONS,Member
W27x129,129,Extra Heavy, 1.05 , 135.45 , 0.068 ,191.9731617,10, 0.68 ,7.83,LF,TONS,Member
W27x146,146,Extra Heavy, 1.05 , 153.30 , 0.077 ,217.2719505,10, 0.77 ,9.13,LF,TONS,Member
W27x161,161,Extra Heavy, 1.05 , 169.05 , 0.085 ,239.5944111,10, 0.85 ,9.16,LF,TONS,Member
W27x178,178,Extra Heavy, 1.05 , 186.90 , 0.093 ,264.8931999,10, 0.93 ,9.21,LF,TONS,Member
W27x194,194,Extra Heavy, 1.05 , 203.70 , 0.102 ,288.7038246,10, 1.02 ,9.23,LF,TONS,Member
W27x217,217,Extra Heavy, 1.05 , 227.85 , 0.114 ,322.9315976,10, 1.14 ,9.30,LF,TONS,Member
W27x235,235,Extra Heavy, 1.05 , 246.75 , 0.123 ,349.7185504,10, 1.23 ,9.36,LF,TONS,Member
W27x258,258,Extra Heavy, 1.05 , 270.90 , 0.135 ,383.9463234,10, 1.35 ,9.42,LF,TONS,Member
W27x281,281,Extra Heavy, 1.05 , 295.05 , 0.148 ,418.1740964,10, 1.48 ,9.49,LF,TONS,Member
W27x307,387,Extra Heavy, 1.05 , 406.35 , 0.203 ,575.9194851,10, 2.03 ,9.57,LF,TONS,Member
W27x336,336,Extra Heavy, 1.05 , 352.80 , 0.176 ,500.0231189,10, 1.76 ,9.63,LF,TONS,Member
W27x368,368,Extra Heavy, 1.05 , 386.40 , 0.193 ,547.6443683,10, 1.93 ,9.71,LF,TONS,Member
W27x407,407,Extra Heavy, 1.05 , 427.35 , 0.214 ,605.682766,10, 2.14 ,9.81,LF,TONS,Member
W27x448,448,Extra Heavy, 1.05 , 470.40 , 0.235 ,666.6974918,10, 2.35 ,9.96,LF,TONS,Member
W27x494,494,Extra Heavy, 1.05 , 518.70 , 0.259 ,735.1530379,10, 2.59 ,10.07,LF,TONS,Member
W27x539,539,Extra Heavy, 1.05 , 565.95 , 0.283 ,802.1204199,10, 2.83 ,10.17,LF,TONS,Member
W27x84,84,Extra Heavy, 1.05 , 88.20 , 0.044 ,125.0057797,10, 0.44 ,7.72,LF,TONS,Member
W27x94,94,Extra Heavy, 1.05 , 98.70 , 0.049 ,139.8874202,10, 0.49 ,7.73,LF,TONS,Member
W30x108,108,Extra Heavy, 1.05 , 113.40 , 0.057 ,160.7217168,10, 0.57 ,8.39,LF,TONS,Member
W30x116,116,Extra Heavy, 1.05 , 121.80 , 0.061 ,172.6270291,10, 0.61 ,8.41,LF,TONS,Member
W30x124,124,Extra Heavy, 1.05 , 130.20 , 0.065 ,184.5323415,10, 0.65 ,8.43,LF,TONS,Member
W30x132,132,Extra Heavy, 1.05 , 138.60 , 0.069 ,196.4376538,10, 0.69 ,8.44,LF,TONS,Member
W30x148,148,Extra Heavy, 1.05 , 155.40 , 0.078 ,220.2482786,10, 0.78 ,8.50,LF,TONS,Member
W30x173,173,Extra Heavy, 1.05 , 181.65 , 0.091 ,257.4523797,10, 0.91 ,9.98,LF,TONS,Member
W30x191,191,Extra Heavy, 1.05 , 200.55 , 0.100 ,284.2393325,10, 1.00 ,9.99,LF,TONS,Member
W30x211,211,Extra Heavy, 1.05 , 221.55 , 0.111 ,314.0026133,10, 1.11 ,10.08,LF,TONS,Member
W30x235,235,Extra Heavy, 1.05 , 246.75 , 0.123 ,349.7185504,10, 1.23 ,10.07,LF,TONS,Member
W30x261,261,Extra Heavy, 1.05 , 274.05 , 0.137 ,388.4108156,10, 1.37 ,10.16,LF,TONS,Member
W30x292,292,Extra Heavy, 1.05 , 306.60 , 0.153 ,434.5439009,10, 1.53 ,10.25,LF,TONS,Member
W30x326,326,Extra Heavy, 1.05 , 342.30 , 0.171 ,485.1414784,10, 1.71 ,10.33,LF,TONS,Member
W30x357,357,Extra Heavy, 1.05 , 374.85 , 0.187 ,531.2745638,10, 1.87 ,10.42,LF,TONS,Member
W30x391,391,Extra Heavy, 1.05 , 410.55 , 0.205 ,581.8721413,10, 2.05 ,10.52,LF,TONS,Member
W30x433,433,Extra Heavy, 1.05 , 454.65 , 0.227 ,644.3750312,10, 2.27 ,10.60,LF,TONS,Member
W30x477,477,Extra Heavy, 1.05 , 500.85 , 0.250 ,709.8542491,10, 2.50 ,10.73,LF,TONS,Member
W30x526,526,Extra Heavy, 1.05 , 552.30 , 0.276 ,782.7742873,10, 2.76 ,10.82,LF,TONS,Member
W30x581,581,Extra Heavy, 1.05 , 610.05 , 0.305 ,864.6233097,10, 3.05 ,10.98,LF,TONS,Member
W30x90,90,Extra Heavy, 1.05 , 94.50 , 0.047 ,133.934764,10, 0.47 ,8.29,LF,TONS,Member
W30x99,99,Extra Heavy, 1.05 , 103.95 , 0.052 ,147.3282404,10, 0.52 ,8.35,LF,TONS,Member
W33x118,118,Extra Heavy, 1.05 , 123.90 , 0.062 ,175.6033572,10, 0.62 ,9.22,LF,TONS,Member
W33x130,130,Extra Heavy, 1.05 , 136.50 , 0.068 ,193.4613258,10, 0.68 ,9.26,LF,TONS,Member
W33x141,141,Extra Heavy, 1.05 , 148.05 , 0.074 ,209.8311302,10, 0.74 ,9.27,LF,TONS,Member
W33x152,152,Extra Heavy, 1.05 , 159.60 , 0.080 ,226.2009347,10, 0.80 ,9.35,LF,TONS,Member
W33x169,169,Extra Heavy, 1.05 , 177.45 , 0.089 ,251.4997235,10, 0.89 ,9.36,LF,TONS,Member
W33x201,201,Extra Heavy, 1.05 , 211.05 , 0.106 ,299.1209729,10, 1.06 ,10.74,LF,TONS,Member
W33x221,221,Extra Heavy, 1.05 , 232.05 , 0.116 ,328.8842538,10, 1.16 ,10.77,LF,TONS,Member
W33x241,241,Extra Heavy, 1.05 , 253.05 , 0.127 ,358.6475347,10, 1.27 ,10.84,LF,TONS,Member
W33x263,263,Extra Heavy, 1.05 , 276.15 , 0.138 ,391.3871436,10, 1.38 ,10.85,LF,TONS,Member
W33x291,291,Extra Heavy, 1.05 , 305.55 , 0.153 ,433.0557369,10, 1.53 ,10.94,LF,TONS,Member
W33x318,318,Extra Heavy, 1.05 , 333.90 , 0.167 ,473.2361661,10, 1.67 ,11.01,LF,TONS,Member
W33x354,354,Extra Heavy, 1.05 , 371.70 , 0.186 ,526.8100717,10, 1.86 ,11.09,LF,TONS,Member
W33x387,387,Extra Heavy, 1.05 , 406.35 , 0.203 ,575.9194851,10, 2.03 ,11.21,LF,TONS,Member
W33x424,424,Extra Heavy, 1.05 , 445.20 , 0.223 ,630.9815548,10, 2.23 ,11.29,LF,TONS,Member
W33x468,468,Extra Heavy, 1.05 , 491.40 , 0.246 ,696.4607727,10, 2.46 ,11.38,LF,TONS,Member
W33x515,515,Extra Heavy, 1.05 , 540.75 , 0.270 ,766.4044828,10, 2.70 ,11.50,LF,TONS,Member
W33x567,567,Extra Heavy, 1.05 , 595.35 , 0.298 ,843.7890131,10, 2.98 ,11.59,LF,TONS,Member
W33x619,619,Extra Heavy, 1.05 , 649.95 , 0.325 ,921.1735434,10, 3.25 ,11.71,LF,TONS,Member
W36x135,135,Extra Heavy, 1.05 , 141.75 , 0.071 ,200.902146,10, 0.71 ,9.81,LF,TONS,Member
W36x150,150,Extra Heavy, 1.05 , 157.50 , 0.079 ,223.2246066,10, 0.79 ,9.88,LF,TONS,Member
W36x160,160,Extra Heavy, 1.05 , 168.00 , 0.084 ,238.1062471,10, 0.84 ,9.90,LF,TONS,Member
W36x170,170,Extra Heavy, 1.05 , 178.50 , 0.089 ,252.9878875,10, 0.89 ,9.91,LF,TONS,Member
